symbol,trade_date,close,trade_volume,share_volume,intraday_volatility,share_volume_5d,share_volume_20d,volume_ratio_5d_20d,trade_density,momentum_5d,momentum_20d,momentum_60d
LMF.N0000,2026-01-06,70.7,278,880037,1.9801980198019882,795531.0,795531.0,1.0,3165.6007194244603,0.0,0.0,0.0
HAPU.N0000,2026-01-06,54.4,11,266,1.8382352941176472,2595.3333333333335,2595.3333333333335,1.0,24.181818181818183,0.0,0.0,0.0
LLUB.N0000,2026-01-06,190.75,155,63591,0.9174311926605505,86062.0,86062.0,1.0,410.26451612903224,0.0,0.0,0.0
HARI.N0000,2026-01-06,4974.0,47,301,1.0052271813429836,198.33333333333334,198.33333333333334,1.0,6.404255319148936,0.0,0.0,0.0
LITE.N0000,2026-01-06,56.7,31,13022,9.171075837742498,7130.333333333333,7130.333333333333,1.0,420.06451612903226,0.0,0.0,0.0
HASU.N0000,2026-01-06,110.0,33,9539,1.3636363636363635,12439.0,12439.0,1.0,289.06060606060606,0.0,0.0,0.0
LION.N0000,2026-01-06,1709.25,11,114,1.7405294719906392,197.66666666666666,197.66666666666666,1.0,10.363636363636363,0.0,0.0,0.0
HAYC.N0000,2026-01-06,115.25,169,323379,1.3015184381778742,204795.66666666666,204795.66666666666,1.0,1913.4852071005917,0.0,0.0,0.0
LIOC.N0000,2026-01-06,132.0,84,52690,1.7045454545454544,167546.0,167546.0,1.0,627.2619047619048,0.0,0.0,0.0
GHLL.N0000,2026-01-06,18.6,24,116442,2.1505376344085945,73774.0,73774.0,1.0,4851.75,0.0,0.0,0.0
LPRT.N0000,2026-01-06,460.0,7,16,4.3478260869565215,9.0,9.0,1.0,2.2857142857142856,0.0,0.0,0.0
GEST.N0000,2026-01-06,249.75,41,8200,6.806806806806807,2909.3333333333335,2909.3333333333335,1.0,200.0,0.0,0.0,0.0
LUMX.N0000,2026-01-06,6.7,26,100366,2.9850746268656745,59475.0,59475.0,1.0,3860.230769230769,0.0,0.0,0.0
MBSL.N0000,2026-01-06,11.5,128,410133,6.956521739130425,472152.0,472152.0,1.0,3204.1640625,0.0,0.0,0.0
EBCR.N0000,2026-01-06,69.0,101,191318,3.0434782608695774,97588.66666666667,97588.66666666667,1.0,1894.2376237623762,0.0,0.0,0.0
MASK.N0000,2026-01-06,81.6,16,3920,2.573529411764699,11163.666666666666,11163.666666666666,1.0,245.0,0.0,0.0,0.0
ECL.N0000,2026-01-06,17.2,50,63623,8.720930232558139,30990.666666666668,30990.666666666668,1.0,1272.46,0.0,0.0,0.0
MARA.N0000,2026-01-06,7.0,27,214503,1.4285714285714235,183602.66666666666,183602.66666666666,1.0,7944.555555555556,0.0,0.0,0.0
EDEN.N0000,2026-01-06,13.3,59,122746,3.7593984962406015,146713.66666666666,146713.66666666666,1.0,2080.4406779661017,0.0,0.0,0.0
MAL.X0000,2026-01-06,42.6,2,91,2.1126760563380245,71.0,71.0,1.0,45.5,0.0,0.0,0.0
ELPL.N0000,2026-01-06,178.0,77,26094,5.617977528089887,13633.333333333334,13633.333333333334,1.0,338.8831168831169,0.0,0.0,0.0
HAYL.N0000,2026-01-06,205.75,422,395523,3.0376670716889427,234123.0,234123.0,1.0,937.2582938388625,0.0,0.0,0.0
MAL.N0000,2026-01-06,57.7,4,1263,3.292894280762562,459.6666666666667,459.6666666666667,1.0,315.75,0.0,0.0,0.0
