symbol,dimension_3_score,quality_label,industry_type,pillar1_score,pillar1_contribution,pillar2_score,pillar2_contribution,pillar3_score,pillar3_contribution,sector,industry,pb,pb_label,pe,pe_label,fair_pb,pb_ratio,iv_label,pe_historical_label,week52_position_label,ath_drawdown_label,current_vs_avg_pe,pfcf,ev_ebitda,earnings_yield,intrinsic_value,price_iv_ratio,ncav,price_ncav_ratio
CINS.N0000,84.1,Deep Value,financial,99.124,39.6,100.0,35.0,38.0,9.5,,Insurance Carriers,0.74,Deep Value,10.73,Value,119.5,0.006192468619246862,Extreme Value (50%+ MOS),Historically Expensive,No Data,No Data,1.9833641404805915,,,,,,,
CINS.X0000,85.0,Deep Value,financial,100.0,40.0,100.0,35.0,39.88310536044362,10.0,,Insurance Carriers,0.74,Deep Value,9.54,Deep Value,119.5,0.006192468619246862,Extreme Value (50%+ MOS),Historically Expensive,No Data,No Data,1.7634011090573012,,,,,,,
CINV.N0000,64.0,Fair Value,value,72.5,29.0,50.0,17.5,70.0,17.5,,Investors not elsewhere classified,,,3.52,Deep Value,,,Unable to Calculate,Historically Cheap,No Data,No Data,0.07059767348576013,0.0,0.0,28.45,0.0,0.0,0.0,0.0
CIT.N0000,64.0,Fair Value,value,72.5,29.0,50.0,17.5,70.0,17.5,,Investors not elsewhere classified,,,4.18,Deep Value,,,Unable to Calculate,Historically Cheap,No Data,No Data,0.21861924686192466,0.0,0.0,23.9,0.0,0.0,0.0,0.0
CITH.N0000,48.6,Slight Premium,value,46.562000000000005,18.6,50.0,17.5,50.0,12.5,,Hotels and Motels,,,24.99,Premium,,,Unable to Calculate,No Historical Data,No Data,No Data,0.0,0.0,18.78,4.0,0.0,0.0,0.0,0.0
CITW.N0000,39.1,Overvalued,value,41.1565,16.5,29.0,10.1,50.0,12.5,,Hotels and Motels,,,0.0,No Data,,,Overvalued,No Data,No Data,No Data,0.0,40.97,15.21,-6.8,523354444.4444445,3.5731042696791424,0.0,0.0
CLND.N0000,40.5,Slight Premium,value,29.049,11.6,50.0,17.5,45.48674543501611,11.4,,Land Subdividers and Developers Except Cemeteries,,,49.86,Expensive,,,Unable to Calculate,Historically Expensive,No Data,No Data,1.3388829215896885,0.0,60.93,2.0,0.0,0.0,0.0,0.0
COCO.N0000,46.4,Slight Premium,value,41.017999999999994,16.4,50.0,17.5,50.0,12.5,,Textile Mill Products,,,28.56,Premium,,,Unable to Calculate,No Historical Data,No Data,No Data,0.0,0.0,19.0,3.0,0.0,0.0,0.0,0.0
COCO.X0000,45.5,Slight Premium,value,38.855,15.5,50.0,17.5,50.0,12.5,,Textile Mill Products,,,33.3,Expensive,,,Unable to Calculate,No Historical Data,No Data,No Data,0.0,0.0,19.0,3.0,0.0,0.0,0.0,0.0
COCR.N0000,85.9,Deep Value,financial,100.0,40.0,100.0,35.0,43.75558359621451,10.9,,Personal Credit Institutions,1.29,Deep Value,4.66,Deep Value,159.08333333333334,0.008108957569408068,Extreme Value (50%+ MOS),Historically Expensive,No Data,No Data,1.470031545741325,,,,,,,
COLO.N0000,64.4,Fair Value,value,75.85,30.3,50.0,17.5,66.27244267198404,16.6,,Automotive Dealers and Gasoline Service Stations,,,7.72,Deep Value,,,Unable to Calculate,Below Average,No Data,No Data,0.769690927218345,0.0,11.32,12.95,0.0,0.0,0.0,0.0
COMB.N0000,87.1,Deep Value,financial,100.0,40.0,100.0,35.0,48.27634615384615,12.1,,Commercial Banks,1.15,Deep Value,5.23,Deep Value,117.91666666666667,0.009752650176678444,Extreme Value (50%+ MOS),Above Average,No Data,No Data,1.2572115384615385,,,,,,,
COMB.X0000,87.2,Deep Value,financial,100.0,40.0,100.0,35.0,48.78788461538461,12.2,,Commercial Banks,1.15,Deep Value,5.19,Deep Value,117.91666666666667,0.009752650176678444,Extreme Value (50%+ MOS),Above Average,No Data,No Data,1.247596153846154,,,,,,,
COMD.N0000,64.7,Fair Value,value,83.44399999999999,33.4,51.9384334987001,18.2,52.69030303030303,13.2,,Land Subdividers and Developers Except Cemeteries,,,6.2,Deep Value,,,Fair Value,Above Average,No Data,No Data,1.1742424242424243,20.26,7.76,16.12,3581060355.239788,1.072308092875713,0.0,0.0
CONN.N0000,76.5,Value,value,86.63,34.7,83.72961012469248,29.3,50.0,12.5,,Hotels and Motels,,,14.55,Value,,,Deep Value (30-50% MOS),No Historical Data,No Data,No Data,0.0,6.01,7.96,6.9,7573475555.555556,0.5241979023868096,0.0,0.0
COOP.N0000,77.2,Value,financial,78.38499999999999,31.4,100.0,35.0,43.42102418207682,10.9,,Fire Marine and Casualty Insurance,1.19,Deep Value,42.05,Expensive,79.91666666666667,0.014890510948905108,Extreme Value (50%+ MOS),Historically Expensive,No Data,No Data,0.0,,,,,,,
CPRT.N0000,50.0,Fairly Valued,value,50.0,20.0,50.0,17.5,50.0,12.5,,Commercial Printing,,,0.0,No Data,,,Unable to Calculate,No Data,No Data,No Data,0.0,0.0,0.0,-0.43,0.0,0.0,0.0,0.0
CRL.N0000,47.2,Slight Premium,financial,43.089000000000006,17.2,50.0,17.5,50.0,12.5,,Personal Credit Institutions,1.93,High Premium,49.57,Expensive,0.0,0.0,No ROE Data,No Historical Data,No Data,No Data,0.0,,,,,,,
CSD.N0000,47.9,Slight Premium,value,67.26169999999999,26.9,29.0,10.1,43.37687979539642,10.8,,Real Estate,,,11.72,Value,,,Overvalued,Historically Expensive,No Data,No Data,1.4987212276214834,23.93,15.07,8.56,2024522222.2222223,2.089381856899022,0.0,0.0
CSF.N0000,50.0,Fairly Valued,value,50.0,20.0,50.0,17.5,50.0,12.5,,Land Subdividers and Developers Except Cemeteries,,,0.0,No Data,,,Unable to Calculate,No Data,No Data,No Data,0.0,0.0,0.0,-140.98,0.0,0.0,0.0,0.0
CSLK.N0000,65.3,Fair Value,value,83.24950000000001,33.3,55.74183308534134,19.5,50.0,12.5,,Electric Lighting And Wiring Equipment,,,14.08,Value,,,Fair Value,No Historical Data,No Data,No Data,0.0,11.64,9.71,7.1,6522761111.111112,1.0179738130665523,0.0,0.0
CTBL.N0000,71.8,Value,value,61.3435,24.5,85.0,29.7,70.0,17.5,,Groceries And Related Products,,,42.84,Expensive,,,Extreme Value (50%+ MOS),Historically Cheap,No Data,No Data,0.5683205094189441,6.22,8.13,2.3,9904140000.000002,0.23020676202073068,0.0,0.0
