symbol,price,date,time,timestamp
CHL.X0000,249.5,2026-02-10,15:45:27,2026-02-10 15:45:27
CHL.N0000,344.75,2026-02-10,15:45:27,2026-02-10 15:45:27
CFVF.N0000,66.0,2026-02-10,15:45:27,2026-02-10 15:45:27
CFLB.N0000,80.2,2026-02-10,15:45:27,2026-02-10 15:45:27
CFIN.N0000,280.0,2026-02-10,15:45:27,2026-02-10 15:45:27
CFI.N0000,471.75,2026-02-10,15:45:27,2026-02-10 15:45:27
CERA.N0000,167.0,2026-02-10,15:45:27,2026-02-10 15:45:27
CDB.X0000,296.25,2026-02-10,15:45:27,2026-02-10 15:45:27
CDB.N0000,385.5,2026-02-10,15:45:27,2026-02-10 15:45:27
CCS.N0000,112.75,2026-02-10,15:45:27,2026-02-10 15:45:27
CBNK.N0000,9.7,2026-02-10,15:45:27,2026-02-10 15:45:27
CARS.N0000,677.5,2026-02-10,15:45:27,2026-02-10 15:45:27
CARG.N0000,751.0,2026-02-10,15:45:27,2026-02-10 15:45:27
CARE.N0000,55.2,2026-02-10,15:45:27,2026-02-10 15:45:27
CALT.N0000,55.1,2026-02-10,15:45:27,2026-02-10 15:45:27
CALH.N0000,18.0,2026-02-10,15:45:27,2026-02-10 15:45:27
CALF.N0000,142.0,2026-02-10,15:45:27,2026-02-10 15:45:27
CABO.N0000,220.75,2026-02-10,15:45:27,2026-02-10 15:45:27
BUKI.N0000,970.0,2026-02-10,15:45:27,2026-02-10 15:45:27
BRWN.N0000,190.5,2026-02-10,15:45:27,2026-02-10 15:45:27
BRR.N0000,22.7,2026-02-10,15:45:27,2026-02-10 15:45:27
BREW.N0000,2762.25,2026-02-10,15:45:27,2026-02-10 15:45:27
BPPL.N0000,19.5,2026-02-10,15:45:27,2026-02-10 15:45:27
BOPL.N0000,74.6,2026-02-10,15:45:27,2026-02-10 15:45:27
BOGA.N0000,151.75,2026-02-10,15:45:27,2026-02-10 15:45:27
BLUE.N0000,0.3,2026-02-10,15:45:27,2026-02-10 15:45:27
BIL.N0000,6.8,2026-02-10,15:45:27,2026-02-10 15:45:27
BFN.N0000,38.4,2026-02-10,15:45:27,2026-02-10 15:45:27
BFL.N0000,86.6,2026-02-10,15:45:27,2026-02-10 15:45:27
BERU.N0000,3.7,2026-02-10,15:45:27,2026-02-10 15:45:27
BBH.N0000,23.2,2026-02-10,15:45:27,2026-02-10 15:45:27
BALA.N0000,67.0,2026-02-10,15:45:27,2026-02-10 15:45:27
AUTO.N0000,419.0,2026-02-10,15:45:27,2026-02-10 15:45:27
ATLL.N0000,36.0,2026-02-10,15:45:27,2026-02-10 15:45:27
ASPH.N0000,0.4,2026-02-10,15:45:27,2026-02-10 15:45:27
ASIY.N0000,13.0,2026-02-10,15:45:27,2026-02-10 15:45:27
ASIR.N0000,34.5,2026-02-10,15:45:27,2026-02-10 15:45:27
ASHO.N0000,3899.5,2026-02-10,15:45:27,2026-02-10 15:45:27
ASCO.N0000,53.0,2026-02-10,15:45:27,2026-02-10 15:45:27
APLA.N0000,170.0,2026-02-10,15:45:27,2026-02-10 15:45:27
AMSL.N0000,16.1,2026-02-10,15:45:27,2026-02-10 15:45:27
AMF.N0000,66.3,2026-02-10,15:45:27,2026-02-10 15:45:27
ALUM.N0000,19.9,2026-02-10,15:45:27,2026-02-10 15:45:27
ALLI.N0000,371.25,2026-02-10,15:45:27,2026-02-10 15:45:27
AINS.N0000,36.5,2026-02-10,15:45:27,2026-02-10 15:45:27
AHUN.N0000,114.0,2026-02-10,15:45:27,2026-02-10 15:45:27
AHPL.N0000,56.6,2026-02-10,15:45:27,2026-02-10 15:45:27
AGST.X0000,12.2,2026-02-10,15:45:27,2026-02-10 15:45:27
AGST.N0000,10.8,2026-02-10,15:45:27,2026-02-10 15:45:27
AGPL.N0000,18.5,2026-02-10,15:45:27,2026-02-10 15:45:27
AGAL.N0000,59.0,2026-02-10,15:45:27,2026-02-10 15:45:27
AFSL.N0000,114.5,2026-02-10,15:45:27,2026-02-10 15:45:27
AFS.N0000,43.0,2026-02-10,15:45:27,2026-02-10 15:45:27
AEL.N0000,72.0,2026-02-10,15:45:27,2026-02-10 15:45:27
ACME.N0000,11.9,2026-02-10,15:45:27,2026-02-10 15:45:27
ACAP.N0000,7.0,2026-02-10,15:45:27,2026-02-10 15:45:27
ABL.N0000,30.0,2026-02-10,15:45:27,2026-02-10 15:45:27
ABAN.N0000,1259.75,2026-02-10,15:45:27,2026-02-10 15:45:27
AAIC.N0000,85.2,2026-02-10,15:45:27,2026-02-10 15:45:27
AAF.P0000,67.9,2026-02-10,15:45:27,2026-02-10 15:45:27
AAF.N0000,57.6,2026-02-10,15:45:27,2026-02-10 15:45:27
LGIL.N0000,8.5,2026-02-10,15:45:27,2026-02-10 15:45:27
LOFC.N0000,5.9,2026-02-10,15:45:27,2026-02-10 15:45:27
CTC.N0000,1768.5,2026-02-10,15:45:27,2026-02-10 15:45:27
LOLC.N0000,595.0,2026-02-10,15:45:27,2026-02-10 15:45:27
JKH.N0000,22.2,2026-02-10,15:45:27,2026-02-10 15:45:27
