symbol,rank,dimension7_v2_score,c1_trading_activity,c2_volatility_adj,c3_market_recognition,c4_volume_trends,c5_momentum,trade_volume_score,share_volume_score,trade_density_class,volatility_level,volume_trend,volume_ratio,momentum_confluence,momentum_5d_pct,momentum_20d_pct,momentum_60d_pct,momentum_5d_score,momentum_20d_score,momentum_60d_score,phase,components_active,metrics_available,scoring_date
COCO.X0000,110,69.3,62.0,50.0,50.0,95.0,95.0,62.0,62.0,retail,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
AHUN.N0000,111,69.3,62.0,50.0,50.0,95.0,95.0,62.0,62.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
ATL.N0000,112,69.3,62.0,50.0,50.0,95.0,95.0,62.0,62.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
MERC.N0000,113,69.3,62.0,50.0,50.0,95.0,95.0,62.0,62.0,retail,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
EAST.N0000,114,69.3,62.0,50.0,50.0,95.0,95.0,62.0,62.0,retail,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
LALU.N0000,115,69.3,62.0,50.0,50.0,95.0,95.0,62.0,62.0,retail,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
EBCR.N0000,116,69.3,62.0,50.0,50.0,95.0,95.0,62.0,62.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
KAHA.N0000,117,69.3,62.0,50.0,50.0,95.0,95.0,62.0,62.0,mixed,moderate,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
HELA.N0000,118,69.1,59.5,55.0,50.0,95.0,95.0,37.0,82.0,mixed,low,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
STAF.N0000,119,68.8,62.0,45.0,50.0,95.0,95.0,62.0,62.0,retail,high,neutral,1.0,mixed,0.0,0.0,0.0,95.0,95.0,95.0,1B-D,5,10,2026-02-15
