symbol,price,open,high,low,previous_close,change_rs,change_pct,share_volume,trade_volume,collection_date,collection_timestamp
DFCC.N0000,156.25,158.0,158.0,156.25,156.25,0.0,0.0,1271,11,2026-02-11,2026-02-11 10:00:23
DIAL.N0000,32.7,33.0,33.0,32.6,32.7,0.0,0.0,2880,23,2026-02-11,2026-02-11 10:00:23
CALF.N0000,139.5,145.0,147.0,139.5,145.0,-5.5,-3.79,509,9,2026-02-11,2026-02-11 10:00:23
DIMO.N0000,1970.0,1970.0,1970.0,1970.0,1986.25,-16.25,-0.82,281,3,2026-02-11,2026-02-11 10:00:23
PKME.N0000,162.75,163.0,163.0,162.75,160.5,2.25,1.4,220,2,2026-02-11,2026-02-11 10:00:23
CTEA.N0000,1230.0,1230.0,1230.0,1230.0,1236.25,-6.25,-0.51,4,1,2026-02-11,2026-02-11 10:00:23
DIPD.N0000,59.4,59.1,59.4,59.1,59.0,0.4,0.68,1953,9,2026-02-11,2026-02-11 10:00:23
DIST.N0000,59.9,59.9,59.9,59.0,59.9,0.0,0.0,500662,42,2026-02-11,2026-02-11 10:00:23
STAF.N0000,50.0,50.0,50.0,50.0,50.0,0.0,0.0,25520,16,2026-02-11,2026-02-11 10:00:23
EML.N0000,12.7,12.7,12.9,12.4,12.6,0.1,0.79,64299,26,2026-02-11,2026-02-11 10:00:23
EAST.N0000,74.7,74.2,74.7,74.2,74.3,0.4,0.54,1165,2,2026-02-11,2026-02-11 10:00:23
EMER.N0000,16.5,16.7,17.1,16.3,16.2,0.3,1.85,291728,157,2026-02-11,2026-02-11 10:00:23
EDEN.N0000,13.3,13.3,13.3,13.2,13.1,0.2,1.53,7900,4,2026-02-11,2026-02-11 10:00:23
ELPL.N0000,180.0,180.0,180.0,180.0,180.25,-0.25,-0.14,1500,3,2026-02-11,2026-02-11 10:00:23
PACK.N0000,14.7,14.7,14.7,14.0,14.5,0.2,1.38,115404,27,2026-02-11,2026-02-11 10:00:23
EXT.N0000,13.1,12.9,13.3,12.8,12.8,0.3,2.34,163670,49,2026-02-11,2026-02-11 10:00:23
CFVF.N0000,66.1,66.0,66.1,65.6,66.0,0.1,0.15,22864,29,2026-02-11,2026-02-11 10:00:23
FCT.N0000,37.3,36.9,37.3,36.9,37.0,0.3,0.81,894,4,2026-02-11,2026-02-11 10:00:23
GHLL.N0000,18.9,18.8,18.9,18.5,18.5,0.4,2.16,4224,5,2026-02-11,2026-02-11 10:00:23
WAPO.N0000,119.5,124.75,124.75,119.5,119.25,0.25,0.21,15,2,2026-02-11,2026-02-11 10:00:23
GEST.N0000,331.5,330.5,352.75,330.5,337.0,-5.5,-1.63,55,4,2026-02-11,2026-02-11 10:00:23
MEL.N0000,7.2,7.4,7.4,7.1,7.4,-0.2,-2.7,149079,24,2026-02-11,2026-02-11 10:00:23
HNB.X0000,372.0,375.25,375.25,372.0,370.25,1.75,0.47,2689,8,2026-02-11,2026-02-11 10:00:23
HNB.N0000,430.0,430.0,430.0,428.75,429.0,1.0,0.23,152130,36,2026-02-11,2026-02-11 10:00:23
HPL.N0000,26.0,26.0,26.0,26.0,26.2,-0.2,-0.76,49,3,2026-02-11,2026-02-11 10:00:23
HAYC.N0000,123.25,123.5,124.5,123.25,123.25,0.0,0.0,1216,7,2026-02-11,2026-02-11 10:00:23
MGT.N0000,39.0,39.1,39.1,38.8,39.8,-0.8,-2.01,18769,30,2026-02-11,2026-02-11 10:00:23
HEXP.N0000,118.0,119.0,119.0,118.0,116.75,1.25,1.07,102,3,2026-02-11,2026-02-11 10:00:23
CONN.N0000,38.1,38.1,38.1,38.1,37.0,1.1,2.97,1,1,2026-02-11,2026-02-11 10:00:23
HAYL.N0000,239.0,239.25,239.5,238.0,239.0,0.0,0.0,10658,43,2026-02-11,2026-02-11 10:00:23
HELA.N0000,3.3,3.3,3.3,3.3,3.3,0.0,0.0,126638,10,2026-02-11,2026-02-11 10:00:23
HHL.N0000,33.9,34.1,34.1,33.9,34.1,-0.2,-0.59,191966,113,2026-02-11,2026-02-11 10:00:23
CITH.N0000,4.3,4.4,4.4,4.3,4.4,-0.1,-2.27,10456,8,2026-02-11,2026-02-11 10:00:23
HASU.N0000,109.5,109.5,109.5,109.5,109.75,-0.25,-0.23,100,1,2026-02-11,2026-02-11 10:00:23
HNBF.N0000,8.2,8.2,8.3,8.1,8.0,0.2,2.5,1326,6,2026-02-11,2026-02-11 10:00:23
HNBF.X0000,8.0,8.0,8.0,8.0,7.8,0.2,2.56,26919,11,2026-02-11,2026-02-11 10:00:23
HSIG.N0000,93.6,94.0,94.0,93.6,93.9,-0.3,-0.32,454,4,2026-02-11,2026-02-11 10:00:23
HDFC.N0000,56.6,56.6,56.6,56.6,56.9,-0.3,-0.53,65,1,2026-02-11,2026-02-11 10:00:23
HBS.N0000,20.0,20.2,20.2,19.9,20.2,-0.2,-0.99,14675,15,2026-02-11,2026-02-11 10:00:23
HUNT.N0000,1285.0,1285.0,1285.0,1285.0,1498.5,-213.5,-14.25,1,1,2026-02-11,2026-02-11 10:00:23
HVA.N0000,5.5,5.7,5.7,5.5,5.6,-0.1,-1.79,424806,29,2026-02-11,2026-02-11 10:00:23
ASPH.N0000,0.5,0.5,0.5,0.4,0.4,0.1,25.0,392286,12,2026-02-11,2026-02-11 10:00:23
INME.N0000,1710.0,1710.0,1710.0,1710.0,1746.75,-36.75,-2.1,8,2,2026-02-11,2026-02-11 10:00:23
JINS.N0000,136.5,137.25,137.25,136.5,137.25,-0.75,-0.55,2157,5,2026-02-11,2026-02-11 10:00:23
JAT.N0000,45.2,45.2,45.2,44.5,45.2,0.0,0.0,7232,23,2026-02-11,2026-02-11 10:00:23
JETS.N0000,18.0,18.0,18.1,18.0,18.0,0.0,0.0,4672,9,2026-02-11,2026-02-11 10:00:23
JFP.N0000,16.0,16.1,16.1,16.0,16.1,-0.1,-0.62,3171,9,2026-02-11,2026-02-11 10:00:23
JKH.N0000,22.5,22.4,22.6,22.3,22.4,0.1,0.45,405401,36,2026-02-11,2026-02-11 10:00:23
KHL.N0000,21.4,21.4,21.9,21.4,21.4,0.0,0.0,22473,27,2026-02-11,2026-02-11 10:00:23
JKL.N0000,85.5,85.3,85.5,85.3,85.2,0.3,0.35,133,3,2026-02-11,2026-02-11 10:00:23
KAHA.N0000,21.0,20.5,21.0,20.5,20.9,0.1,0.48,6896,6,2026-02-11,2026-02-11 10:00:23
KPHL.N0000,20.3,20.2,20.4,19.5,19.9,0.4,2.01,43859,21,2026-02-11,2026-02-11 10:00:23
KFP.N0000,168.0,170.0,170.0,168.0,169.0,-1.0,-0.59,255,4,2026-02-11,2026-02-11 10:00:23
KGAL.N0000,142.0,142.0,142.0,142.0,141.25,0.75,0.53,4,1,2026-02-11,2026-02-11 10:00:23
KCAB.N0000,132.25,132.0,132.25,131.0,131.75,0.5,0.38,1920,8,2026-02-11,2026-02-11 10:00:23
TYRE.N0000,89.1,89.1,89.9,89.0,89.9,-0.8,-0.89,3828,20,2026-02-11,2026-02-11 10:00:23
KVAL.N0000,89.3,89.3,89.3,89.3,89.7,-0.4,-0.45,1784,4,2026-02-11,2026-02-11 10:00:23
CPRT.N0000,2399.5,2350.0,2440.0,2001.0,1959.75,439.75,22.44,1497,50,2026-02-11,2026-02-11 10:00:23
KOTA.N0000,9.5,9.5,9.7,9.4,9.5,0.0,0.0,499835,24,2026-02-11,2026-02-11 10:00:23
LAMB.N0000,1700.0,1447.0,1750.0,1447.0,1441.5,258.5,17.93,336,32,2026-02-11,2026-02-11 10:00:23
LOLC.N0000,592.0,590.0,592.0,585.5,590.0,2.0,0.34,2290,15,2026-02-11,2026-02-11 10:00:23
LVEF.N0000,9.0,9.0,9.1,8.9,9.0,0.0,0.0,49334,35,2026-02-11,2026-02-11 10:00:23
LPRT.N0000,771.5,630.0,771.5,630.0,617.25,154.25,24.99,9581,101,2026-02-11,2026-02-11 10:00:23
LALU.N0000,48.5,48.5,48.5,48.5,47.9,0.6,1.25,3,1,2026-02-11,2026-02-11 10:00:23
ASHO.N0000,3900.25,3900.25,3900.25,3900.25,3900.25,0.0,0.0,3,1,2026-02-11,2026-02-11 10:00:23
CERA.N0000,167.0,167.0,167.0,167.0,167.0,0.0,0.0,335,2,2026-02-11,2026-02-11 10:00:23
